Course,Course TItle,Course URL,Course Description
COGS 9,Introduction to Data Science,,
DSC 10,Introduction to Programming,,
DSC 20,Introduction to Data Structures,,
DSC 30,Representations of Data,,
DSC 80,Networked Life,,
MATH 18,Linear Algebra,,
MATH 20A,Calculus for Science and Engineering,,
MATH 20B,Calculus for Science and Engineering,,
MATH 20C,Calculus and Analytical Geometry for Science and Engineering,,
MATH 183,,,
CSE 103,,,
ECE 109 ,,,
MATH 181A,,,
MATH 189,Exploratory Data Analysis and Inference,,
CSE 158,Data Mining,,
DSC 106,Introduction to Data Visualization,,
COGS 108,Data Science in Practice,,