Reference Number,Author,Publication Title,Publication Source,Permanent Identifier/URL,Publication Volume/Issue,Publication Date,
1,"Campbell, Robert J.",Database Design: What HIM Professionals Need to Know,Perspectives in Health Information Management,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2047327/,1:06,August 2004,
2,"Zilinski, Lisa, Sapp Nelson, Megan, and Amy Van Epps",Developing Professional Skills in STEM Students: Data Information Literacy,Issues in Science and Technology Librarianship,http://dx.doi.org/10.5062/F42V2D2Z,77,Summer 2014,
3,"Stephenson, Elizabeth 
Caravello, Patti Schifter",Incorporating data literacy into undergraduate information literacy programs in the social sciences: A pilot project,Reference Services Review,http://dx.doi.org/10.1108/00907320710838354,35:4,2007,
4,"Sadamih Project, Oxford University Computing Services",Information practices for researchers - good practice guides: Databases and tools for structured data,Oxford University Computing Services,http://dx.doi.org/10.5281/zenodo.28331,,"July 26, 2013",
5,"Rolando, Lizzy
Carlson, Jake
Hswe, Patricia 
Wells Parham, Susan 
Westra, Brian, 
Whitmire, Amanda L.",Data Management Plan as research tool,ASIST Bulletin,http://dx.doi.org/10.1002/bult.2015.1720410510,41:5,June/July 2015,
6,"Rinto, Erin",Developing and Applying an Information Literacy Rubric to Student Annotated Bibliographies,Evidence Based Library and Information Practice,http://dx.doi.org/10.18438/b8559f,8:3,2013,
7,"Blakeslee, Sarah",The CRAAP test,LOEX Quarterly,ÿhttp://commons.emich.edu/loexquarterly/vol31/iss3/4,31:3,2004,
8,DataONE,Lesson 5: Data Quality Control and Assurance,,https://www.dataone.org/education-modules,,2012,
9,DataONE,Lesson 7: Metadata,,https://www.dataone.org/education-modules,,2012,
10,Kolker et al. ,Toward More Transparent and Reproducible Omics Studies Through a Common Metadata Checklist and Data Publications,OMICS: a Journal of Integrative Biology,http://dx.doi.org/10.1089/pmi.2013.0149,18:01,2014,
11,"Edwards, Paul N. et al. ","Science Friction: Data, metadata, and collaboration",Social Studies of Science ,http://dx.doi.org/10.1177/0306312711413314,41:5,2011,
12,"Erdmann, Charlotte",Standards for New Educators: Guide to ABET Outcomes and Standards Availability in Libraries,ASEE 2010 Annual Conference & Exposition,https://peer.asee.org/16224,,2010,
13,DataONE,Lesson 8: How to Write Quality Metadata,,https://www.dataone.org/education-modules,,2012,
14,"Chou, Guo-Li 
Anderson, O. Roger
",A Study of Undergraduate Physics Students' Understanding of Heat Conduction Based on Mental Model Theory and Ontology-Process Analysis,Science Education,http://dx.doi.org/10.1002/sce.20385,94:5,2009,
15,"Libarkin, Julie C.
Kurdziel, Josepha P. ",Ontology and the Teaching of Earth System Science,Journal of Geoscience Education,http://nagt.org/files/nagt/jge/abstracts/libarkinv54p408.pdf,54:3,2006,
16,"Chen, Chih-Ming",Ontology-based concept map for planning a personalized learning path,British Journal of Educational Technology,http://dx.doi.org/10.1111/j.1467-8535.2008.00892.x,40:6,2009,
17,"Calzada Prado, Javier
Marzal, Miguel Angel",Incorporating Data Literacy into Information Literacy Programs: Core Competencies and Contents,Libri,http://dx.doi.org/10.1515/libri-2013-0010,63:2,2013,
18,"Altman, Micah","State of the Art Informatics for Research Reproducibility, Reliability, and Reuse: Or How I Learned to Stop Worrying and Love Data Management",Micah Altman's Blog,https://drmaltman.wordpress.com/2014/03/27/state-of-the-art-informatics-for-research-reproducibility-reliability-and-reuse-or-how-i-learned-to-stop-worrying-and-love-data-management/,,2014,
19,American Library Association,Information Literacy Competency Standards for Higher Education,,http://www.ala.org/acrl/sites/ala.org.acrl/files/content/standards/standards.pdf,,2000,
20,"Maglia, Anne",DMPs and Public Access: Agency and Data Service Experiences,,,,2016,
21,"Brandt, D. Scott",Data Management for Undergraduate Researchers: Data Management Plans,Purdue University LibGuides,http://guides.lib.purdue.edu/c.php?g=353013&p=2378291,,2016,
22,DataONE,Lesson 3: Data Management Planning,,https://www.dataone.org/education-modules,,2012,
23,"Maybee, Clarence
Carlson, Jake
Slebodnik, Maribeth
Chapman, Bert","""It's in the Syllabus"":Identifying Information Literacy and Data Information Literacy Opportunities Using a Grounded Theory Approach",Journal of Academic Librarianship,http://dx.doi.org/10.1016/j.acalib.2015.05.009,41:4,2015,
24,"Carlson, Jacob
Fosmire, Michael
Miller, C.C.
Sapp Nelson, Megan",Determining Data Information Literacy Needs: A Study of Students and Research Faculty,portal: Libraries and the Academy,https://muse.jhu.edu/,11:2,2011,
25,Stanford University,Preservation Principles,,http://www.lockss.org/about/principles/,,2016,
26,"Valentino, Maura
Boock, Michael",Data Management for Graduate Students: A Case Study at Oregon State University ,Practical Academic Librarianship,https://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/57831/ValentinoMauraLibraryDataManagementGraduate.pdf?sequence=4,5:02,2015,
27,"Carlson, Jake
Bracke, Marianne S.",Agriculture/Graduate Students/Carlson & Bracke/Purdue University/2014,Data Information Literacy Case Studies,http://docs.lib.purdue.edu/dilcs/vol1/iss3/1/,1:03,2014,
28,"
Kreisberg, Adam Frank, Rebecca D. Faniel, Ixchel D. Yakel, Elizabeth",The Role of Data Reuse in the Apprenticeship Process,ASIST 2013,http://www.asis.org/asist2013/proceedings/submissions/papers/49paper.pdf,50,2013,
29,DataONE,Lesson 10: Analysis and Workflows,,https://www.dataone.org/education-modules,,2012,
30,"Tufte, Edward",The Visual Display of Quantitative Information,"Cheshire, CT: Graphics Press",,,2001,
31,"Womack, Ryan ",Data Vizualization and Information Literacy,IASSIST Quarterly ,http://www.iassistdata.org/sites/default/files/iq/iqvol381_womack.pdf,38:1,2014,
32,"Kelleher, Christa
Wagener, Thorsten",Ten Guidelines for Effective Data Visualization in Scientific Publications,Environmental Modelling & Software,http://dx.doi.org/10.1016/j.envsoft.2010.12.006,26:6,2011,
33,"Evergreen, Stephanie Emery, Anne K. ",Data Visualization Checklist,,http://stephanieevergreen.com/wp-content/uploads/2014/05/DataVizChecklist_May2014.pdf,,2014,
34,"Tufte, Edward",Envisioning Information,"Cheshire, CT: Graphics Press",,,1990,
35,"Lengler, Ralph
Eppler, Martin J.",Periodic Table of Visualization Methods,Visual-literacy.org,http://www.visual-literacy.org/periodic_table/periodic_table.html,,2007,
36,"Briney, Kristin 
Goben, Abigail 
Zilinski, Lisa",Do You Have An Institutional Data Policy? A Review of the Current Landscape of Library Data Services and Institutional Data Policies,Journal of Librarianship and Scholarly Communication,http://dx.doi.org/10.7710/2162-3309.1232,3:2,2015,
37,"Martone, M. (ed.)",Data Citation Synthesis Group: Joint Declaration of Data Citation Principles,"San Diego, CA: FORCE11",https://www.force11.org/group/joint-declaration-data-citation-principles-final,,2014,
38,DataCite,Cite Your Data,datacite.org,https://www.datacite.org/services/cite-your-data.html,,,
39,"Coates, Heather",Ensuring Research Integrity: The role of data management in current crises,College & Research Libraries News,http://crln.acrl.org/content/75/11/598.full,75:11,2014,
40,Resources for Research Ethics Education,Data Management,UCSD,http://research-ethics.net/topics/data-management/#discussion,,2016,
41,"Purwin, Tom et al. ",The Forum Guide to Education Statistics,National Forum on Education Statistics,http://nces.ed.gov/pubs2010/2010801.pdf,,2010,
42,"Whitbeck, Elizabeth","The Responsible Collection, Retention, Sharing, and Interpretation of Data",Online Ethics Center,http://www.onlineethics.org/Resources/TeachingTools/Modules/19237/moddata.aspx,,2006,
43,"Sapp Nelson, Megan","Where Do We Go From Here? In Data Information Literacy: Librarians, Data, and the Education of a New Generation of Researchers",Purdue University Press,http://www.thepress.purdue.edu/titles/format/9781612493527,,2015,
