Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kuwait,KWT,14957490,5328120,15844751,10549690,130279777,8153236,6457672,6339210,6915819,33763167,1464897,1487446,1308546,1038364,1348493,,5982129,9639816,8128742,16285678,,,,84074873,5333902,
Latin America & Caribbean (excluding high income),LAC,,,,5648740836,7982446683,11066149899,13973173115,18504647064,23782575808,31052112850,39822845865,37600003985,36185780304,35835006155,40235338511,43661285551,47858104247,46481881554,47383056788,42008344979,49509604173,57892598612,56965375273,58539599788,59363626581,
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,,,,,,,,14516140,13473824,11193218,11049679,14177653,15692174,16995379,26474000,34520000,35101735,37477392,55103881,86790410,278555999,49364422,39298966,41298274,38146559,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,,383656,1247120,1232431,1904960,1463146,1421425,588858,746375,494323,427949,434603,816168,840080,817725,837429,1845756,2379675,3965900,,,,,,1728467,
Latin America & Caribbean,LCN,,,,,,11495327556,14496640113,19093928193,,31805211823,40790947163,38620497242,36958201745,36751975349,41330218552,45002417036,49485570396,48314275476,50049728759,44043093672,51781009744,60534609662,59630704558,,,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,,,,,,,,,,,33692818,,56310073,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,6056445,8040201,18180762,22900854,27889491,,,,,109039078,122746599,76287148,19281819,24619542,61775100,99738087,71512094,108639372,102239678,45502785,56678418,70746485,57823960,69142802,67647675,59295119
Lower middle income,LMC,,,,,,,,,,,35531154897,29886008208,33567211215,34427289066,38959816122,40479861922,43130860106,47129864954,46263212837,44068614426,40144272114,45812972712,59866536455,,,
Low & middle income,LMY,,,,,,,,,,,188169916067,179281426411,205405422199,253119076641,325548349940,389092304180,465952816831,503629407669,523282261842,487893411241,606790763969,675224928593,737774645552,,,
Lesotho,LSO,,,,,,,,,,,901662,1195899,1935685,327275,428589,,,,394573,1640095,2229999,139462,18372,,,
Late-demographic dividend,LTE,,,,,,,76688967443,89015783712,102867147349,123698703545,154082021333,155287074008,175734947517,219505112198,287855267009,353042100829,423476237869,457968071913,480324316342,446813297631,563642337474,627585949709,686579544015,756865060051,763520610614,
Lithuania,LTU,,,4156835,,57751910,57214598,72340653,88376919,74958806,64690540,101977906,133254633,132688400,216177526,253219451,412262108,655735047,1190913025,1457224657,905311029,1190412076,1520145996,1612829473,1782051127,1900957548,1773594152
Luxembourg,LUX,,,,,,,,,,958730959,1076675387,1336048713,1097914462,1002393908,1063132018,1230769788,1328907021,1154345644,919140138,888274065,918468404,1106470978,895544462,714838455,642362379,673934496
Latvia,LVA,,,,,35661077,39208856,45718132,60943450,41831944,39634680,41474136,44883758,51825254,79724617,131307943,159476820,243118219,336672251,407955763,337996402,396246630,560578395,675108657,925175276,1119714939,961867110
"Macao SAR, China",MAC,25870991,28881419,32416451,29870448,23081404,36917750,36645302,38956538,15233058,15966447,18387133,17235972,12237377,10953032,9961645,12397535,12671644,16862697,22922705,13198070,0,0,0,,38253,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,52975392,45753827,13355016,8584637,9509015,448261790,604369645,537369655,439527097,572743714,681200151,696365089,708334686,830646958,859085513,771383917,664566954,897323698,860938797,889025706,949971530,869791832,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,5000893,6405291,7136545,47926184,4186905,5192463,4683000,4779830,7690497,8315351,8785285,7801405,10460212,13904627,13236759,8118121,17430573,16874822,24709880,14300836,23886881,17928258
Madagascar,MDG,3407052,821551,409633,4392321,779152,612610,1006039,664396,15508010,3829843,2093220,3242745,1675168,1638402,2355958,2738562,4491601,7238885,6830768,9359649,4714064,52026514,1681188,1638370,3961124,
Maldives,MDV,,,,,,,,,,,,,,,0,0,,,,,,,,,,
Middle East & North Africa,MEA,,,,,,,,,,6726206662,7401328928,6334693084,5766805955,6981705341,8119000872,7571868753,9230728725,6303778706,9651999665,10368406399,12066278966,13089230523,13075701046,13419936708,14354020892,
Mexico,MEX,962212081,1189015497,3688313016,4487544984,6528622363,9352136000,11806799865,15592067852,19230095730,24059491957,31174465509,29734770059,28937633223,28725861281,31955962404,32400251888,35899472030,33482117138,33387187129,31183608848,37657285550,40795383584,44021894972,45418666690,49402709617,45780911356
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,,,,,,,,,,,188136223249,179253283020,205349112126,253079140862,325489166888,388987602441,465649870714,503484109143,523119930369,487720412738,606715172483,674873219837,737362162676,810383006926,,
"Macedonia, FYR",MKD,,,,,14039453,22603130,11640510,18115914,18349952,6962416,11410012,8847315,10828902,13164212,14995706,15849651,18539167,21225703,,40375847,77129177,123491689,112135680,117522964,122898232,110003537
Mali,MLI,,,,,,,172935,136329,369300,905489,1255457,3181124,3250493,1306391,2081143,2361153,2625440,3650261,1540876,,1703594,5021628,2187956,,,
Malta,MLT,446258221,576146723,764480970,631416874,844859686,1073654363,904233910,789988653,1002197701,1066056864,1553186709,1043541366,1028418780,1241756330,1380153285,1156793536,1511533485,1474591983,1340676895,1005297003,1182615533,1309410485,1265236319,1011832290,849241705,
Myanmar,MMR,,,34340,,,,,,,,,,,,,,,,,,41739,,,,,
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,797416301,761575448,905528307,1052348773,1240576939,1301899118,1932479554,1572507901,1684175978,1385749916,2633573104,2542548253,,,,
Montenegro,MNE,,,,,,,,,,,,,,,,,3502499,2925094,2586252,12154429,5311185,4085156,8705682,4774385,7721070,6492297
Mongolia,MNG,,,,,,,483565,1910908,772034,2769190,559535,128925,640448,370407,240779,93905,2653416,6852798,,,,,,22066017,33611478,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,189000,886000,2229000,2959146,,599921,2189175,945728,1885932,6547177,8240764,9496128,2751450,14912437,6110726,23755399,549792,71194000,104739005,80780608,43938980,31240449
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,4508682,4048214,4032847,4957310,8699983,10396802,6806599,8755237,14932993,13465787,12658919,14032030,29370476,72328882,61587899,16148071,360658605,113631176,99614971,21066982,6195501,9742400,10600841,6228178,276502,673785
Malawi,MWI,18212,28293,,,1046539,479984,363503,375432,130741,301727,558734,1279615,71358,210260,676469,2495571,1554722,1250224,1656918,2857374,1231423,4047462,1316458,5416216,6096774,
Malaysia,MYS,6050305410,7951230303,10219630229,13495282897,19166912147,25408874429,26330796170,29501429556,31661692698,39994086879,47025984953,40927596796,43578859112,47370455184,53268141268,57700357985,63493770185,65223947548,42971572907,50971808371,59331817835,61126964506,61228924357,60378253483,63376041042,57257697127
North America,NAC,99639171301,109611305673,116483599779,117489650145,129706353968,144497328076,157864032140,184388633981,193806913929,205224551881,227246018704,203046824134,184619248249,182943045279,197807733215,216088899965,245760995946,244426010719,247795848907,155616891926,169896130521,170655606604,177418712699,177730188584,187195349752,180623744622
Namibia,NAM,,,,,,,,,,,13211596,6009211,8423643,13737513,66193658,161953227,100684073,81971007,19149165,38757633,29720410,42274443,106847183,44037568,83161368,
New Caledonia,NCL,,,,,,,,,,4112969,2287605,2608502,2076755,3797641,14607809,3830734,10323896,5512105,4620253,114918541,6153149,160019578,84304913,96524897,136661132,
Niger,NER,,,,,,151554,220986,353918,161413,619193,1185678,531675,523717,548885,1539763,9393068,10242539,7998788,1994085,4047669,3768111,2544017,2101414,48628117,69108666,
Nigeria,NGA,,,,,,,2123200,418458,30709,13055906,331097,204540,1328095,8617110,,,61698021,12042734,18260124,45296900,63044619,38334316,77185633,84049641,139618952,
Nicaragua,NIC,,,,1625430,1664539,1005671,971204,1048922,1777175,960405,2316016,2033713,6005955,3069994,5081360,4473270,4714409,5110931,7573723,6761103,5592320,5994074,4344649,7424951,8198780,
Netherlands,NLD,12853367042,13928337514,16179939830,18141527315,19710513412,26801118676,29829699293,35843006967,35678639752,39909411871,44879171597,38962325108,34098720150,50241414283,60073008423,65910375885,69510358120,67416482908,58127846370,50765250646,59509788717,67147867601,63963116660,69039551874,70308349003,
Norway,NOR,1263716092,1155602517,1322814427,1176130910,1252695816,1508325684,1585381130,1714667568,1876042597,1907582464,1854538306,2224095768,2640338065,2403802328,2689936524,2798633966,3338449628,3584084836,4264421285,3807911617,3834172996,4510799186,4506303030,4818883360,5208376522,4729878109
Nepal,NPL,,,,,10266764,,,,8236,1050,52184,,,590450,,,,,,2435963,3566817,1916543,778302,1768386,1058351,2792696
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,92511969,108939010,124535586,141387614,210838678,278355857,293925165,367639149,467905646,610597632,377486916,370010851,390220319,474177763,566383135,603216320,590444494,603307391,584484821,472594061,547784792,661395978,709174190,723215367,644639540,600783726
OECD members,OED,343421508110,371456218826,399418572735,402210661500,462376124184,561314904476,580979912519,646424391801,678926136650,752512188663,858926327915,785628684443,770567478693,830130466762,970112592189,1045058263302,1172917580011,1096042366359,1138229482393,929255890484,1078730527730,1173551441095,1170310316506,1199564868587,1231754198545,924432759335
Oman,OMN,41836162,51652467,28183956,52765958,55153532,36862767,53091349,107572599,110692191,117601232,41978321,41435579,36471296,18322687,3760365,2228193,3409703,7513179,18079322,6950754,18747197,137151352,167104202,159946807,230872191,
Other small states,OSS,,,,,,,,,,,,,1505148947,,2333165243,2472214286,3264899121,,,1831717265,,,,,,
Pakistan,PAK,3113504,1252998,1938392,4108858,,2773677,2523708,6522592,8087982,21933998,29995547,23149845,56799086,121914599,120554724,179795879,197887409,189482047,270489462,226813073,262070065,316365305,309016315,348751224,259253378,
Panama,PAN,,,,,,3223842,2950890,3388892,2272738,1592928,1510123,2321319,1725173,1203638,2054564,858046,1220256,2743362,1108997,900026,696667,4769250391,464507,50963,231391,457
Peru,PER,,,7271073,7576866,15198952,17766712,48593534,45914701,45903291,45184476,50834817,54483648,33304281,39454385,57421038,78988129,75269711,84392781,113493474,113547613,253239885,306912151,185157921,177875931,185817380,195064245
Philippines,PHL,,2003826037,1111128055,1413760829,1811180663,2471030199,9942599252,14367156160,19044395918,24175397321,25255816101,21025886575,23880908253,23955318370,25869410149,26019715020,27653464668,29526159013,26889303346,21525688076,16071867452,12949169027,20795049384,21810356356,23839225492,26192288870
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,166122,,1102773,
Papua New Guinea,PNG,,,,,,,,,33758608,,10895186,38456809,12583204,47665157,70850283,,,,,,,65439337,15582279,,,
Poland,POL,,,268087000,257493000,285125000,418829001,527785003,490635199,641687000,557414000,834121000,906441000,950788000,1336721000,1989231014,2645317949,3225078654,3370639621,5906529876,6626950220,8304806900,8613651552,9559858495,12220494770,14487253098,13444666348
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Peopleâ€™s Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,543657886,489959408,542421793,340255692,538825399,996129912,812640868,817717777,826732783,1016354149,1291624925,1622596398,1601168874,2321708814,2701050865,2746308535,3096152853,3341480546,3387823077,1387080033,1297075534,1644726715,1774888298,1964368104,2085363040,1902608832
Paraguay,PRY,186033,703480,1060915,1026716,1868969,3709801,2249088,3768044,4885660,3209573,4826728,6673026,4557696,9373646,13110697,16295134,24251942,23553508,27103631,37259224,31881008,43141808,44453713,57567206,55955000,47679184
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,,,414230452848,420708476543,489450795459,594634801618,612116680933,672269073369,691630176467,759552908930,869962151637,782479120779,773159245790,847444073239,997783390123,1079885091833,1222601151246,1131885791819,1183174753759,955523094804,1130664868379,1217023785322,1211919346851,1242705007271,1269300185084,831597354798
French Polynesia,PYF,,,,,,,29113911,30696468,41909151,30125520,17951748,21992515,5328772,4375644,18350872,23458417,18434304,3294114,28488491,11149418,5891124,17870700,2278947,8677315,19732265,
Qatar,QAT,,15658,17999,5137,0,25483,13575,,0,76754,549,76581,1635,24352,457078,100488,312176,2667716,9066,860597,11009,112596,3993324,27939,33285,
Romania,ROU,140186000,48561819,46199496,39460188,74538000,79015000,76790000,79795000,120868007,236571000,470274000,566746000,427421992,576961184,719984879,847478378,1236505248,1117736473,2535246888,2923197033,4248559713,4966343987,2860651841,2857606634,3439802540,3536097090
Russian Federation,RUS,,,,,,,2228785250,1890655525,2469187457,2277379681,3907958319,3249500846,4664408204,5501366655,5254188367,3820368577,3866054190,4108627496,5071296687,4527431432,5075117239,5443361073,7095069908,8655776675,9842669328,
Rwanda,RWA,,,,,,,7997,30376,40064,9718,,22904,9272199,492728,680391,979440,674188,1167746,930199,4560864,933635,1403086,1040410,2076903,6554503,
South Asia,SAS,,,,,,,,,,,,,,,,4451728908,,,,11041591781,10440866390,13299079873,,,,
Saudi Arabia,SAU,,11119439,16739813,4011778,3046368,9656596,39545985,,18216505,46011727,23440000,31028445,25756006,132555253,41206324,97623851,156251947,131282909,85194506,39837656,200938649,206151461,255733654,291211033,254366095,
Sudan,SDN,,,,,,,31736,8,10958,799019,4695287,559404,3729316,3915,0,14343,8771,,35372,9624127,49577,294501,3394943,,,
Senegal,SEN,,,,,,,2888362,2725225,15758778,32789650,13599584,10062787,12427909,19402165,29455123,52824400,17240295,24940185,44310661,89872472,9330993,5703457,6840305,22270856,30241847,
Singapore,SGP,15023064248,17311581862,21773042951,27516281358,40313852578,53636846754,58000525979,59752080267,54894563402,60030536679,73920978262,62552702241,64119593432,76411037761,94225281972,105656173155,124739041673,102853621506,117067882072,95398094528,126981502643,126434946962,128239439593,135601531429,137369116389,
Solomon Islands,SLB,,,,,,,,,,,,,0,0,0,0,,,,4704,37,122555,136,177224,0,
Sierra Leone,SLE,,,,,,,,,,,324146,,960168,,,,,,,,,,,,7244,
El Salvador,SLV,,,,,25832736,29071938,33406492,40539102,45484749,38262580,21102946,28888664,38852320,36126214,34376518,117877138,128013169,137651113,147296526,140226040,185960385,200590617,178178778,177673567,189329660,183144061
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,,,57136000,,,,49784000,42172000,74862000,22086000,34690000,66014924,52839964,,99931535,93134116,145654851,211332724,259274663,229950355,253645320,262692393,373961680,334511622,,
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,1105347564,1006029189,924254134,1116011629,1689696889,2272653137,2927107061,2515168743,2624217313,2009641755,2283769413,3215668609,3256596545,,,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,3394943,,,
Sub-Saharan Africa,SSF,,,,,,,,,,,1105482852,1006092885,925680484,1116011629,1689696889,2276367278,2927564258,2515168743,2624412803,2009641755,2283769413,3215668609,3256596545,,,
Small states,SST,,,,,,,,,,,,,1558288081,,2380706309,2544036713,3331517415,3141098663,2646150566,1858967529,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,,,,1597,,,11841,2428,420,177,32586,41748,4359,100228,114456,2266,
Suriname,SUR,,,,,141381,78356,1062563,719656,455898,609000,615504,472736,759338,1110443,936464,2257894,1332103,1582243,1604487,3710124,4708574,5523252,11045678,5416397,10156828,
Slovak Republic,SVK,,,,,222149980,213242632,189529708,290184717,328655638,365935531,361412496,409087076,396527641,730929099,1302981576,1973952675,2313115719,2663500518,3167015729,2751909097,3740963335,4717976058,6192876580,7574416351,7706617343,6720319370
Slovenia,SVN,,,191551943,178417770,,269437483,337698173,323144754,367207086,318261071,384045608,442116205,505315304,737728849,821284815,788181718,1011106873,1170874426,1485875217,1264521310,1191147002,1403283011,1388653122,1466833567,1479152863,1432654148
Sweden,SWE,6108131709,6113267869,6248217974,5436116531,6674993548,9992765407,11993231502,12663289520,13823620910,13879680276,16207767302,10819505841,12326832164,13497011271,17296306006,17338866133,18364281859,15068947695,15424454303,12794379549,16178044373,18499493586,16561556182,17096659061,16555746623,14933994823
Swaziland,SWZ,,,,,,,,,,,1951437,2947641,3978269,3677719,1103070,657893,1188832,876591,,,,,,,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,253,0,55,0,0,0,0,0,135288,63696,1426350,0,0,3714141,457197,0,195490,,,,,,,
Syrian Arab Republic,SYR,,,,,,,,,,,1913314,506234,2976286,4907064,6233676,18470421,28121778,51019645,85804121,46824781,37531370,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,610361,855133,195369,106336,310674,489659,7110,12458,2800,6171,88533,,141727,182433,,,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,4925312236,4982545399,7549845324,7087547885,8299441815,10536131221,12216853150,10972099175,13304478089,15094303597,21448899384,20738326101,25536728870,28189182068,30705846609,34547605881,38145058001,
Togo,TGO,,95154,,,232524,761508,727937,387212,207520,288615,356055,681918,712211,2453293,48943,195485,,100981,98323,252517,164331,789422,679956,923460,530152,1192704
Thailand,THA,3030979698,3868391499,4778256551,5444163614,7743026426,10096666550,11576924208,12657216487,13558805259,13998103915,17293040958,15227797755,15688054626,18259980893,20610893825,22553664350,27051581167,30321849612,31303092122,27764379900,34156221484,33264733346,33767674064,33901233425,34992376969,
Tajikistan,TJK,,,,,,,,,,,37103000,,,,,,,,,,,,,,,
Turkmenistan,TKM,,,,,,,,,994,16563265,8537806,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,5996606584,8295644851,11477071202,14480007227,19073821332,24455311567,31741365321,40717908910,38550648932,36876898022,36682673641,41257182438,44866925719,49211542218,48301289899,50044075669,44030782427,51762112900,60512186807,59607485160,61670240804,61620642823,
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,796934585,761134063,904886849,1051433033,1240049416,1301375471,1931808827,1572340881,1683757808,1385416098,2632988146,2541861398,,,,
Timor-Leste,TLS,,,,,,,,,,,,,,,0,0,,,,,,,,1906777,,
Tonga,TON,,,,,,,,,,,0,0,,,,,,,0,842,242,1391,150259,55045,24663,
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,4451728908,,,,11041591781,10440866390,13299079873,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,1105482852,1006092885,925680484,1116011629,1689696889,2276367278,2927564258,2515168743,2624412803,2009641755,2283769413,3215668609,3256596545,,,
Trinidad and Tobago,TTO,,799600,1316621,21936022,10025628,34177624,2945906,2461351,13508367,20564774,11250989,75391531,25460846,4224084,26925505,33926641,30164833,59578913,34999299,3252578,3102673,,,,,
Tunisia,TUN,51271541,47090367,48406351,81165259,53666156,69935756,72191999,71688241,97153681,124512446,154371221,176772350,207154873,246928621,377166200,354317345,572657326,573108916,628103934,446128793,611161593,732232913,569043143,616390976,,
Turkey,TUR,106787555,89399797,123364670,147697188,217447443,193654203,275112382,423832071,454047637,870979600,1077574539,990847814,536439348,763179631,1010840536,881846891,1281261668,1643907482,1679724101,1359242821,1713837053,1921400175,1979030628,2176908249,2346682136,2323079468
Tuvalu,TUV,,,,,,,,,,,,,13523,4873,4720,3700,,,,,,,,,,
Tanzania,TZA,,,,,,,,111709,4285402,5866513,1242682,1466144,700049,1521466,1106791,1533315,1149067,4891077,11252821,16203276,24738032,40986194,94598416,44156835,22713535,
Uganda,UGA,,,,,1180009,506995,223529,863191,1147811,1704473,444599,2580127,3155138,3169206,1834548,9023698,60424366,23942454,4607480,3010160,6238424,148932234,165738142,8152925,10556376,
Ukraine,UKR,,,,,,,379872431,441150796,455249676,332333210,528931556,526110120,586809129,1081945700,1461350770,884828313,952495179,1341577643,1551061032,1385271697,1441024225,1908273982,2622692832,2189031951,1921996739,
Upper middle income,UMC,,,,,,,,84741058157,97905239132,119087224487,152605068352,149367274812,171781900911,218651851796,286529350766,348507740519,422519010608,456354244189,476856717532,443651798312,566570900369,629060247125,677495626221,734155905341,739540718547,
Uruguay,URY,,,,18386444,15712619,21395220,22955805,21927783,22409190,20614016,21184713,18804415,21000854,19706350,27116982,29313365,44058319,47950318,78206926,78467988,113974800,134229147,193244229,189270799,171097517,
United States,USA,89516989741,97807009781,104700910870,105184845717,115535095942,126759299125,138093562433,163407329178,171969190087,181431870161,197466008779,176163628691,162082323849,160291329039,176281664560,190737242707,219026015638,218115501899,220884471208,132406674889,145932689277,145638600147,148330989468,148530552453,155640595588,154353963992
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,,,783,1445944,0,1851,0,0,0,480,164,101,0,0,2217,1207,10039,403,41882,8506,99,3056,,,
"Venezuela, RB",VEN,73688424,21184129,33864295,52109778,54946035,73240357,69574302,79490912,81093347,70643836,81588276,95349752,113505422,133723731,121189638,119897353,80052664,,123461218,66134810,145232232,50439651,14962,18092984,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,,,,5503000,3973000,9548000,683655000,581096644,484887554,592414662,621555814,873255442,1275038573,2381019411,1646991047,2100571972,4020110739,9118403941,16259339193,27819466251,30863791585,
Vanuatu,VUT,344531,216839,,,109339,,,,,,6523,,,,,,373371,53871,,411843,699753,2817944,,,,
West Bank and Gaza,PSE,,,,,,,,,,,481716,441385,641458,915740,527523,523647,670727,167020,418170,333818,584958,686855,1120523,369027,1101491,
World,WLD,,,,,,,,,,987008274053,1158072488052,1051808658652,1068542378103,1192360763221,1431841712200,1585643256613,1827568672664,1768061839270,1841980769653,1565151581219,1779976207323,1940207465705,1998779826088,2107208815390,2147395803513,
Samoa,WSM,,,,,,,,,,,,213838,75216,97345,51551,5732228,24265,58305,347265,100511,93742,71333,31768,195335,365039,
"Yemen, Rep.",YEM,,,,,,,,,,,,379,1503,46192,130250,208198,367253,709024,411165,376375,389635,678967,584691,2668283,1219706,
South Africa,ZAF,,,418339743,443800372,479765638,696734921,725657771,977887646,920544584,909742630,990529075,898603831,740274487,883865270,1273558110,1759555270,1790064008,1832867973,1974037725,1364421670,1855317578,2227730667,2310814925,2215473993,2488862532,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,,,,1057717,,1586109,1785692,36331451,5663221,1982610,301768,189669,538824,751018,1166104,1729251,4118964,9901033,8683710,5425079,4295755,221453792,53725320,39418578,19026361,
Zimbabwe,ZWE,6746832,3364216,3950145,3350509,6207092,7968136,13047094,13699747,,9882531,9085226,947329,20527480,,4879281,6996293,201339683,47624092,77165942,7015329,8945808,8927467,20183805,18294566,11721077,10072513