Sb,34,#D1C7C7
Ba,41,#BAABAB
Be,318,#AD1F1F
Li,118,#A65959
Nb,59,#996666
Ta,59,#996666
Sn,113,#A65959
Ti,121,#854747
Ga,452,#FF3333
Co,212,#BF4040
Ru,153,#C27070
Rh,153,#C27070
Pt,153,#C27070
Pd,153,#C27070
Ir,153,#C27070
Os,153,#C27070
Mn,38,#D1C7C7
F,106,#B87A7A
Ge,23,#E8E3E3
In,28,#E8E3E3
Ce,52,#AD8585
Dy,52,#AD8585
Er,52,#AD8585
Eu,52,#AD8585
Gd,52,#AD8585
Ho,52,#AD8585
La,52,#AD8585
Lu,52,#AD8585
Nd,52,#AD8585
Pr,52,#AD8585
Pm,52,#AD8585
Sm,52,#AD8585
Sc,52,#AD8585
Tb,52,#AD8585
Tm,52,#AD8585
Yb,52,#AD8585
Y,52,#AD8585
Te,68,#7A5252
Re,101,#B87A7A
Zr,27,#E8E3E3
Hf,27,#E8E3E3
V,81,#C99C9C